"Name","Version","License"
"Fiona","1.8.18","BSD License"
"GDAL","3.1.4","MIT License"
"Pillow","8.0.1","Historical Permission Notice and Disclaimer (HPND)"
"PySocks","1.7.1","BSD"
"PyWavelets","1.1.1","MIT License"
"PyYAML","5.3.1","MIT License"
"Rtree","0.9.4","MIT License"
"Shapely","1.7.1","BSD License"
"affine","2.3.0","BSD"
"appdirs","1.4.4","MIT License"
"astroid","2.4.2","LGPL"
"attrs","20.3.0","MIT License"
"brotlipy","0.7.0","MIT"
"certifi","2020.12.5","Mozilla Public License 2.0 (MPL 2.0)"
"cffi","1.14.4","MIT License"
"chardet","4.0.0","GNU Library or Lesser General Public License (LGPL)"
"click","7.1.2","BSD License"
"click-plugins","1.1.1","BSD License"
"cligj","0.7.1","BSD"
"cloudpickle","1.6.0","BSD License"
"cryptography","3.3.1","Apache Software License, BSD License"
"cycler","0.10.0","BSD"
"cytoolz","0.11.0","BSD License"
"dask","2020.12.0","BSD"
"decorator","4.4.2","BSD License"
"descartes","1.1.0","BSD License"
"earthpy","0.9.2","BSD License"
"fileutils","0.2.2","UNKNOWN"
"geopandas","0.8.1","BSD"
"geovoronoi","0.2.0","Apache Software License"
"idna","2.10","BSD License"
"imagecodecs","2020.12.24","BSD License"
"imageio","2.9.0","BSD License"
"isort","5.6.4","MIT License"
"kiwisolver","1.3.1","BSD License"
"lazy-object-proxy","1.4.3","BSD License"
"matplotlib","3.3.3","Python Software Foundation License"
"mccabe","0.6.1","MIT License"
"munch","2.5.0","MIT License"
"networkx","2.5","BSD License"
"numpy","1.19.4","BSD"
"olefile","0.46","BSD License"
"packaging","20.8","Apache Software License, BSD License"
"pandas","1.1.5","BSD"
"pooch","1.3.0","BSD License"
"pyOpenSSL","20.0.1","Apache Software License"
"pycparser","2.20","BSD License"
"pylint","2.6.0","GNU General Public License (GPL)"
"pyparsing","2.4.7","MIT License"
"pyproj","2.6.1.post1","MIT"
"python-dateutil","2.8.1","BSD License, Apache Software License"
"pytz","2020.4","MIT License"
"rasterio","1.1.8","BSD License"
"requests","2.25.1","Apache Software License"
"scikit-image","0.18.1","BSD License"
"scipy","1.5.4","BSD License"
"six","1.15.0","MIT License"
"snuggs","1.4.7","MIT"
"tifffile","2020.12.8","BSD License"
"toml","0.10.2","MIT License"
"toolz","0.11.1","BSD License"
"tornado","6.1","Apache Software License"
"urllib3","1.26.2","MIT License"
"wrapt","1.11.2","BSD License"
