"Crop Year","RM","Winter Wheat - bu/ac","Canola - bu/ac","Spring Wheat - bu/ac","Mustard - lbs/ac","Durum - bu/ac","Sunflowers - lbs/ac","Oats - bu/ac","Lentils - lbs/ac","Peas - bu/ac","Barley - bu/ac","Fall Rye - bu/ac","Canary Seed","Spring Rye - bu/ac","Tame Hay - tons/ac","Flax - bu/ac","Chick Peas - lbs/ac"
"2009","1","43.2","34.2","41.8","","","","73.7","","45.7","58.2","47.1","","","","26.1",""
"2009","2","46.7","36.4","40.2","1100","","","56.9","","32.9","54.2","33.4","","","","27.9",""
"2009","3","40","28.1","34","625","41.7","","55","720","23.5","58.5","25.6","1125","","","19.4","1200"
"2009","4","","24.9","33.9","","29.9","","","","25.9","44.2","","","","","18.4",""
"2009","5","","33","32","","33.8","","","","","","","","","","21",""
"2009","6","33.8","38.7","33.7","973","41","","","1299","41.6","","","","","","21.1",""
"2009","7","33.6","33.2","30.5","1591","36.5","","","1553","34.7","","","","","","24.5",""
"2009","8","","27.1","24.4","","36.7","","","1350","32.1","","","","","","20.8",""
"2009","9","","","28.9","","32.3","","55.5","1716","31.9","","","","","","26.1",""
"2009","10","","18","24.7","923","28.8","","42.8","1097","23.3","31.2","","","","","","944"
"2009","11","","","30.3","","34.2","","","","25.8","","","","","","",""
"2009","12","","40","29","750","36.5","","50","1538","27.1","39.4","","","","","30","1500"
"2009","17","40.4","27","25.8","492","27.2","","60.1","","19.9","42.1","","","","","",""
"2009","18","28.5","","29.7","813","28.5","","","","16.3","","","","","","",""
"2009","19","29.1","","29.1","971","27.9","","","802","20.2","59.7","","","","","",""
"2009","31","","32.9","38.5","","","","66.1","","","67.1","","","","","22.2",""
"2009","32","","32.6","37.4","","","","","","27.2","63.1","26.6","","","","21",""
"2009","33","45","32.5","36.1","","42","","62","1150","29.3","57.7","37.7","","","","19.4",""
"2009","34","45.1","24","32.1","864","34.9","","54.3","1405","26.3","49.2","33","1400","","","20.6",""
"2009","35","","30.5","30.8","487","34.6","","","","20.7","","","","","","19.1",""
"2009","36","","31.4","28.8","","39.3","","","","","45.5","","","","","19.5",""
"2009","37","","28.7","32.4","942","33.3","","34.2","","26.9","53.9","","","","","22.5",""
"2009","38","","33.5","30.1","","36.3","","44.8","","31.5","","","","","","22.2",""
"2009","39","45","35.9","31.6","895","40.9","900","67.4","1582","36.8","80.4","","","","","24.3",""
"2009","40","16","25","26.1","750","26.9","","44.5","","22.8","44","12","","","","17.9","896"
"2009","42","40.3","24","32.4","1100","30.1","","67.8","1506","28.1","51.3","","","","","21","1200"
"2009","43","26.5","","27.7","749","27.4","","45.9","1354","28.4","38.8","25","","","","17.3","1200"
"2009","44","22.5","23.4","27.1","712","29.5","","62.5","1062","23.6","41.2","21","","","","19.5","1610"
"2009","45","","","22.6","844","23.9","","71.7","1082","26.1","49.5","33.6","","","","",""
"2009","46","","","","","31.6","","","","","","","","","","",""
"2009","49","33.1","","32","1076","37.6","","98.4","","28.7","46.6","","","","","",""
"2009","51","29","13","25.9","750","27.8","","43.5","","16.9","37.6","29.9","900","","","",""
"2009","61","50.5","39.1","43","","","","61.6","","42.0","65.8","","","","","26.7",""
"2009","63","40","37.7","46","","42.5","","69.5","","37.3","70.2","50","992","","","27.4",""
"2009","64","32","31.6","34.3","","29.5","","46.4","","31.4","56.9","25","","","","20.5",""
"2009","65","","28.1","30.9","","31.2","","52.2","","34.8","48","","","","","21.9",""
"2009","66","","37.2","31","","35.4","","","","31.4","49.5","","","","","23.4",""
"2009","67","45","33.6","32.1","1100","34.2","","72.8","1603","32.6","66.4","","","","","21.7",""
"2009","68","","27.1","23.8","689","31.9","","","","","52.3","","","","","19.3",""
"2009","69","46","30.2","33.4","1216","39.4","","52.9","874","30.3","50.4","48","1550","","","26.7","1440"
"2009","70","","33.5","29.3","","41.7","","","1398","36.4","","","","","","23.9",""
"2009","71","30.7","35.8","33.9","787","32.5","","54.7","1292","29.9","59.7","","","","","23.9","1077"
"2009","72","","","25.7","","32.3","","","1745","32.5","","","","","","24.9",""
"2009","73","","27","32.6","","36.6","","51.7","1609","33.2","43.3","","","","","24.3",""
"2009","74","","13.5","28","804","30.7","","","1270","27.4","37.5","","","","","20","900"
"2009","75","25","14","29.7","590","25.9","","33","1182","25.2","33.3","23.5","","","","15",""
"2009","76","30.4","15","26.4","780","25.8","","","1200","22.4","41.4","28.1","1000","","","15","1200"
"2009","77","29.5","","26.5","580","30.6","","","","26.7","44.3","","","","","15.7",""
"2009","78","40.7","23.5","31.7","1000","36.4","","63.3","1141","28.2","45.2","70","1400","","","30","1530"
"2009","79","36.1","35.7","33.1","","31.7","","64.9","1091","27.1","55.1","","","","","",""
"2009","91","52.5","33.1","44.8","","","","67.5","","34.2","57.6","","","","","27.2",""
"2009","92","","39.9","46.3","","","","68.3","","40.3","66.6","","","","","25.2",""
"2009","93","45.6","38.1","52.3","","","","62.5","","40.0","62.6","55","","","","29.2",""
"2009","94","45","31.7","38.8","","35","","68.6","","37.5","54.8","40","","","","21.8",""
"2009","95","","34.6","40.1","","39.6","","62.9","","41.2","61","","","","","26.3",""
"2009","96","37.3","35.1","47.8","","47","","77.2","1496","36.9","57.8","","1375","","","22.6",""
"2009","97","","36.4","33.8","1100","39.9","","80","1527","49.0","62.4","","1253","","","28.2",""
"2009","98","","40.5","40.6","","43","","","1696","","","","1391","","","26.9",""
"2009","99","","39.9","28.3","","41.2","","60.9","1592","30.1","44.1","","","","","21.5",""
"2009","100","","","","","33.6","","","1480","30.1","","","","","","17.7",""
"2009","101","","31.5","25.9","","35.1","","37.3","1252","32.2","38","","","","","17.5",""
"2009","102","50.4","32.5","30.2","1000","37.5","","","1847","33.8","48.6","","","","","28.3","2405"
"2009","103","42.5","28.2","33.9","","35.7","","","1604","33.2","44.1","","","","","",""
"2009","104","34.2","","28.5","756","31","","","1436","29.6","44.8","","","","","",""
"2009","105","28","24","30.1","1100","28","","40","1043","26.7","41.5","30","625","","","18.4","1190"
"2009","106","","22","22.3","","23.6","","","810","15.0","30.9","","","","","17",""
"2009","107","","","31.6","612","34.6","","","1298","25.0","58.3","","","","","19.1",""
"2009","108","35.6","37.5","33.5","583","33.4","","","1401","27.9","52.2","","","","","",""
"2009","109","","23.1","31.4","","34.4","","","1819","29.6","50.8","","","","","19.9",""
"2009","110","40","","37.5","","36.3","","50","","","55","30","","","","",""
"2009","111","","","15","","16.8","","45.1","","","","22","","","","",""
"2009","121","40","29.1","34","1000","","","66.2","","31.8","55.6","40","1375","","","24",""
"2009","122","40","27.9","35.7","1000","","","63.8","","35.0","54.3","22.9","1450","","","16.5",""
"2009","123","43.6","33.7","40.2","","","","66","","","61.2","30","","","","21.2",""
"2009","124","44.2","32.7","39.1","1200","35","","66.6","1285","34.6","50.3","33","1300","","","21.3",""
"2009","125","35","31.2","40.1","","42.8","","72.5","","36.5","59.6","","1500","","","22.4",""
"2009","126","40.1","34","39.8","1000","38.5","","72.7","1506","28.3","51.5","30","1373","","","23.9",""
"2009","127","39","33.7","38.5","900","38","","68","1493","32.6","62.9","27","1021","","","29","1080"
"2009","128","","44","39.8","","45.1","","65.1","1615","","69.1","","1065","","","23.8",""
"2009","129","","39.9","34.8","","41.1","","65","1694","45.0","75","","1446","","","25",""
"2009","130","","43.2","24.5","","46.6","","","1780","36.8","54.2","","","","","27.8",""
